digital_id	title	data_format	Category	Author	Publisher	Publication_date
000001	(후니의 쉽게 쓴) 시스코 네트워킹	JPEG	Digital	진강훈	BM 성안당	2018
000002	Java 2 -	MOBI	Digital	Schildt, Herbert	대광서림	2003
000003	컴파일러	MOBI	Digital	Alfred V. Aho	피어슨에듀케이션코리아	2009
000004	컴파일러	MOBI	Digital	Alfred V. Aho	피어슨에듀케이션코리아	2009
000005	모든 정부는 거짓말을 한다	EPUB	Digital	MacPherson, Myra	문학동네	2012
000006	Developing web applications with Microsoft Visual Basic.NET and Microsoft Visual C#.NET	MOBI	Digital	Webb, Jeff	정보문화사	2002
000007	(Programming the Microsoft) Windows driver model	EPUB	Digital	Oney, Walter	정보문화사	2004
000008	Code complete	EPUB	Digital	McConnell, Steve	정보문화사	2005
000009	Code complete	MOBI	Digital	McConnell, Steve	정보문화사	2005
000010	(Microsoft) Windows internals	PDF	Digital	Russinovich, Mark E	정보문화사	2006
000011	(Microsoft) Windows internals	EPUB	Digital	Russinovich, Mark E	정보문화사	2006
000012	TCP/IP 프로토콜	EPUB	Digital	Forouzan, Behrouz A	한국맥그로힐	2009
000013	(차세대 데이터 플랫폼을 지향하는) 아파치 하둡 YARN	JPEG	Digital	Vavilapalli, Vinod Kumar	에이콘	2014
000014	오픈스택을 다루는 기술	PDF	Digital	장현정	길벗	2014
000015	오픈스택을 다루는 기술	MOBI	Digital	장현정	길벗	2014
000016	오픈스택을 다루는 기술	PDF	Digital	장현정	길벗	2014
000017	(R을 이용한) 데이터 처리 & 분석 실무	EPUB	Digital	서민구	길벗	2014
000018	(R을 이용한) 데이터 처리 & 분석 실무	PDF	Digital	서민구	길벗	2014
000019	(25개 애플리케이션으로 배우는) 오픈 소스 소프트웨어 아키텍처	MOBI	Digital	Brown, Amy	인사이트	2015
000020	이펙티브 자바	MOBI	Digital	Bloch, Joshua	인사이트	2018
000021	파이썬으로 만드는 OpenCV 프로젝트	JPEG	Digital	이세우	인사이트	2019
000022	(ACM ICPC, IOI/KOI) 알고리즘 트레이닝	JPEG	Digital	Halim, Steven	인사이트	2017
000023	엑셀 바이블 2016	MOBI	Digital	최준선	한빛미디어	2016
000024	(C++로 구현하는) 자료구조와 알고리즘	PDF	Digital	Goodrich, Michael T	범한서적	2013
000025	(C++로 구현하는) 자료구조와 알고리즘	JPEG	Digital	Goodrich, Michael T	범한서적	2013
000026	(C++로 구현하는) 자료구조와 알고리즘	JPEG	Digital	Goodrich, Michael T	범한서적	2013
000027	(건축 인테리어와 게임 캐릭터 디자인을 위한) 3ds Max 9.x 무작정 따라하기	MOBI	Digital	최종헌	길벗	2007
000028	(건축 인테리어와 게임 캐릭터 디자인을 위한) 3ds Max 9.x 무작정 따라하기	EPUB	Digital	최종헌	길벗	2007
000029	(Professional)XML	MOBI	Digital	김종민	정보문화사	2002
000030	자바 프로그래밍 실전 테크닉 300	MOBI	Digital	다윈, 이안	한빛미디어	2002
000031	리눅스 커널의 이해	PDF	Digital	Bovet, Daniel P	한빛미디어	2005
000032	리눅스 커널의 이해	MOBI	Digital	Bovet, Daniel P	한빛미디어	2006
000033	안드로이드 프로그래밍 정복	PDF	Digital	김상형	한빛미디어	2010
000034	안드로이드 프로그래밍 정복	JPEG	Digital	김상형	한빛미디어	2010
000035	jQuery Mobile inside	EPUB	Digital	주영아	스마트미디어	2012
000036	임베디드 메모리 최적화 기법	JPEG	Digital	Kaspersky, Kris	에이콘	2004
000037	임베디드 메모리 최적화 기법	JPEG	Digital	Kaspersky, Kris	에이콘	2004
000038	레거시 코드 활용 전략	JPEG	Digital	Feathers, Michael C	에이콘	2008
000039	레거시 코드 활용 전략	JPEG	Digital	Feathers, Michael C	에이콘	2008
000040	(2008년 9급) 전산직 과년도 기출문제집	EPUB	Digital	박태순	탑스팟	2007
000041	(2008년 9급) 전산직 과년도 기출문제집	PDF	Digital	박태순	탑스팟	2007
000042	도전! 아이폰 4 프로그래밍	EPUB	Digital	박동윤	두드림	2011
000043	(시작하세요!) 안드로이드 프로그래밍	EPUB	Digital	Conder, Shane	위키북스	2009
000044	(시작하세요!) 안드로이드 프로그래밍	JPEG	Digital	Conder, Shane	위키북스	2009
000045	(시작하세요!) 아이폰3 프로그래밍	JPEG	Digital	Mark, Dave	위키북스	2009
000046	(프로요!) 안드로이드 2.2 프로그래밍	JPEG	Digital	이준호	위키북스	2010
000047	(진저브레드!) 안드로이드 2.3 프로그래밍	MOBI	Digital	이준호	위키북스	2011
000048	(진저브레드!) 안드로이드 2.3 프로그래밍	JPEG	Digital	이준호	위키북스	2011
000049	(시작하세요!) 아이폰 4 프로그래밍	EPUB	Digital	Mark, Dave	위키북스	2011
000050	(시작하세요!) 아이폰 4 프로그래밍	PDF	Digital	Mark, Dave	위키북스	2011
000051	빅 데이터 시대의 하둡 완벽 입문	PDF	Digital	태전일수	제이펍	2014
000052	빅 데이터 시대의 하둡 완벽 입문	MOBI	Digital	태전일수	제이펍	2014
000053	(가장 쉬운) 리눅스 시스템 관리 책	MOBI	Digital	Soyinka, Wale	비제이퍼블릭	2014
000054	Photoshopworks	EPUB	Digital	전상현	포토샵웍스	2003
000055	Photoshopworks	MOBI	Digital	전상현	프리미티브	2004
000056	Photoshopworks	MOBI	Digital	전상현	프리미티브	2004
000057	AD Effects	MOBI	Digital	전상현	프리미티브	2007
000058	AD Effects	JPEG	Digital	전상현	프리미티브	2007
000059	(쉽게 배우는) 안드로이드 앱 취약점 진단	EPUB	Digital	최경철	SECU BOOK	2015
000060	백과전서 도판집	JPEG	Digital	Diderot, Denis	프로파간다	2017
000061	백과전서 도판집	JPEG	Digital	Diderot, Denis	프로파간다	2017
000062	백과전서 도판집	EPUB	Digital	Diderot, Denis	프로파간다	2017
000063	백과전서 도판집	MOBI	Digital	Diderot, Denis	프로파간다	2017
000064	백과전서 도판집	JPEG	Digital	Diderot, Denis	프로파간다	2017
000065	컴퓨터시스템구조론	PDF	Digital	Stallings, William	성진미디어	2013
000066	컴퓨터시스템구조론	EPUB	Digital	Stallings, William	성진미디어	2013
000067	Logic pro X 10.4	MOBI	Digital	윤준혁	위키북스	2018
000068	텐서플로와 유니티 ML-Agents로 배우는 강화학습	EPUB	Digital	민규식	위키북스	2020
000069	(실전! 스프링 5와 Vue.js 2로 시작하는) 모던 웹 애플리케이션 개발	PDF	Digital	Ye, James J	위키북스	2020
000070	(시작하세요!) 도커/쿠버네티스	MOBI	Digital	용찬호	위키북스	2020
000071	인프라 엔지니어의 교과서	EPUB	Digital	기술평론사 편집부	길벗	2016
000072	C++14 STL 철저 입문	EPUB	Digital	Horton, Ivor	길벗	2016
000073	가장 빨리 만나는 코어 자바9	JPEG	Digital	Horstmann, Cay S	길벗	2018
000074	리액트 교과서	EPUB	Digital	Mardan, Azat	길벗	2018
000075	리액트를 다루는 기술	MOBI	Digital	김민준	길벗	2018
000076	리팩토링 자바스크립트	MOBI	Digital	Burchard, Evan	길벗	2018
000077	스프링 5.0 마스터	JPEG	Digital	Karanam, Ranga Rao	에이콘	2018
000078	산업 제어 시스템 보안	MOBI	Digital	Ackerman, Pascal	에이콘	2019
000079	Node.js로 프로그래밍 시작하기	MOBI	Digital	Wexler, Yoni	에이콘	2020
000080	R을 활용한 머신 러닝	MOBI	Digital	Lantz, Brett	에이콘	2020
000081	R을 활용한 머신 러닝	EPUB	Digital	Lantz, Brett	에이콘	2020
000082	R을 활용한 머신 러닝	EPUB	Digital	Lantz, Brett	에이콘	2020
000083	R을 활용한 머신 러닝	JPEG	Digital	Lantz, Brett	에이콘	2020
000084	예제로 배우는 블록체인	PDF	Digital	Badr, Bellaj	한빛미디어	2019
000085	처음 시작하는 파이썬	EPUB	Digital	Lubanovic, Bill	한빛미디어	2020
000086	고성능 파이썬	PDF	Digital	Gorelick, Micha	한빛미디어	2021
