book_id	ISBN	title	Category	Author	Publisher	Publication_date
9781782276142001	9781782276142	When we cease to understand the world	etc	Labatut, Benjamín	Pushkin Press	2021
9781913097608001	9781913097608	The Netanyahus : An account of minor and ultimately even negligible episode in the history of a very famous family	language	Cohen, Joshua	Fitzcarraldo Editions	2021
9781916434264001	9781916434264	A ghost in the throat	literature	Ní Ghríofa, Doireann	Tramp Press	2020
9781631498831001	9781631498831	On Juneteenth	Philosophy	Gordon-Reed, Annette	Liveright Publishing Corporation, a division of W.W. Norton ＆ Company	2021
9781644450642001	9781644450642	The trees : a novel	Philosophy	Everett, Percival	Graywolf Press	2021
9781949199963001	9781949199963	Ghosts of New York : a novel	literature	Lewis, Jim	West Virginia University Press	2021
9780593318485001	9780593318485	Let me tell you what I mean	history	Didion, Joan	Alfred A. Knopf	2021
9780544277717001	9780544277717	A lie someone told you about yourself	language	Davies, Peter Ho	Houghton Mifflin Harcourt	2021
9780374604103001	9780374604103	Winter recipes from the collective	technological science	Glück, Louise	Farrar, Straus and Giroux	2021
9780593189580001	9780593189580	No one is talking about this	natural science	Lockwood, Patricia	Riverhead Books	2021
9781609456580001	9781609456580	The promise	social science	Galgut, Damon	Europa Editions	2021
9780393531565001	9780393531565	People love dead Jews : reports from a haunted present	literature	Horn, Dara	W. W. Norton ＆ Company	2021
9781612199092001	9781612199092	Strange beasts of China	social science	Yan, Ge	Melville House	2021
9780358439103001	9780358439103	Punch me up to the gods	Philosophy	Broome, Brian	Houghton Mifflin Harcourt	2021
9780399576164001	9780399576164	Intimacies	technological science	Kitamura, Katie M	Riverhead Books	2021
9780525657903001	9780525657903	What strange paradise	religion	El Akkad, Omar	Alfred A. Knopf	2021
9781419752926001	9781419752926	Burnt sugar	Philosophy	Doshi, Avni	The Overlook Press	2021
9781646220427001	9781646220427	Now beacon, now sea : a son's memoir	language	Sorrentino, Christopher	Catapult	2021
9780393867770001	9780393867770	Playlist for the Apocalypse : poems	Philosophy	Dove, Rita	W. W. Norton ＆ Company	2021
9780525657743001	9780525657743	Crying in H Mart : a memoir	literature	Zauner, Michelle	Alfred A. Knopf	2021
9781101947807001	9781101947807	Send for me	natural science	Fox, Lauren	Alfred A. Knopf	2021
9781616207014001	9781616207014	Libertie : a novel	technological science	Greenidge, Kaitlyn	Algonquin Books of Chapel Hill	2021
9781250252708001	9781250252708	Razorblade tears : a novel	Philosophy	Cosby, S. A	Flatiron Books	2021
9781250807151001	9781250807151	My Monticello : fiction	etc	Johnson, Jocelyn Nicole	Henry Holt and Company	2021
9781982107703001	9781982107703	Three girls from Bronzeville : a uniquely American memoir of race, fate, and sisterhood	Philosophy	Turner, Dawn	Simon ＆ Schuster	2021
9780316497237001	9780316497237	Festival days	Philosophy	Beard, Jo Ann	Little, Brown and Company	2021
9780374603663001	9780374603663	Last best hope : America in crisis and renewal	digital	Packer, George	Farrar, Straus and Giroux	2021
9780593085684001	9780593085684	The prophets : a novel	technological science	Jones, Robert	G. P. Putnam's Sons	2021
9780593133378001	9780593133378	Detransition, baby : a novel	Philosophy	Peters, Torrey	One World	2021
9780593318737001	9780593318737	Wayward	technological science	Spiotta, Dana	Alfred A. Knopf	2021
9780812989434001	9780812989434	Oh William! : a novel	history	Strout, Elizabeth	Random House	2021
9780812993325001	9780812993325	Build your house around my body : a novel	digital	Kupersmith, Violet	Random House	2021
9781501132513001	9781501132513	Better to have gone : love, death, and the quest for utopia in Auroville	history	Kapur, Akash	Scribner	2021
9781644450628001	9781644450628	On freedom : four songs of care and constraint	art	Nelson, Maggie	Graywolf Press	2021
9781982108786001	9781982108786	The book of mother	religion	Huisman, Violaine	Scribner, an imprint of Simon ＆ Schuster, Inc	2021
9781982174149001	9781982174149	Light perpetual : a novel	language	Spufford, Francis	Scribner	2021
9781984801197001	9781984801197	A little devil in America : notes in praise of black performance	language	Abdurraqib, Hanif	Random House	2021
9780393881141001	9780393881141	Bewilderment : a novel	Philosophy	Powers, Richard	W.W. Norton ＆ Company	2021
9781524748852001	9781524748852	The sun collective	natural science	Baxter, Charles	Pantheon Books	2020
9780063040144001	9780063040144	Appleseed : a novel	religion	Bell, Matt	Custom House	2021
9780063049901001	9780063049901	Afterparties : stories	religion	So, Anthony	Ecco	2021
9781250305978001	9781250305978	Somebody's daughter : a memoir	literature	Ford, Ashley C	Flatiron Books	2021
9781250787941001	9781250787941	Everything I have is yours : a marriage	digital	Henderson, Eleanor	Flatiron Books	2021
9780316333535001	9780316333535	A calling for Charlie Barnes : a novel	natural science	Ferris, Joshua	Little, Brown and Company	2021
9780374140182001	9780374140182	Dirty work : essential jobs and the hidden toll of inequality in America	history	Press, Eyal	Farrar, Straus and Giroux	2021
